City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,24.09,100,20,0.0,TO,1669905964
1,tura,25.5198,90.2201,17.24,89,0,1.66,IN,1669905965
2,lompoc,34.6391,-120.4579,10.99,92,40,2.57,US,1669905965
3,dikson,73.5069,80.5464,-5.08,95,100,8.79,RU,1669905966
4,dwarka,22.2394,68.9678,24.66,56,0,5.56,IN,1669905966
5,rikitea,-23.1203,-134.9692,23.14,74,63,4.88,PF,1669905967
6,khatanga,71.9667,102.5,-11.78,94,100,5.94,RU,1669905968
7,ushuaia,-54.8,-68.3,14.81,41,75,8.75,AR,1669905968
8,korla,41.7597,86.1469,-7.33,21,0,0.97,CN,1669905969
9,butaritari,3.0707,172.7902,26.58,81,20,5.7,KI,1669905969
10,saskylakh,71.9167,114.0833,-32.12,100,100,2.27,RU,1669905970
11,punta arenas,-53.15,-70.9167,13.06,47,40,16.46,CL,1669905737
12,bismarck,46.8083,-100.7837,-7.88,83,0,2.68,US,1669905828
13,isangel,-19.55,169.2667,26.18,87,100,3.74,VU,1669905972
14,norman wells,65.282,-126.8329,-20.98,77,100,1.03,CA,1669905972
15,igdir,39.9237,44.045,8.55,87,75,2.06,TR,1669905973
16,carnarvon,-24.8667,113.6333,21.05,75,2,7.47,AU,1669905974
17,adwa,14.1646,38.8955,19.46,26,0,3.19,ET,1669905974
18,abha,18.2164,42.5053,19.9,59,40,4.12,SA,1669905975
19,pevek,69.7008,170.3133,-2.33,77,75,12.6,RU,1669905975
20,tasiilaq,65.6145,-37.6368,3.09,80,100,1.96,GL,1669905976
21,mahebourg,-20.4081,57.7,26.16,69,40,3.09,MU,1669905976
22,albany,42.6001,-73.9662,1.68,52,5,1.34,US,1669905857
23,talnakh,69.4865,88.3972,-17.92,99,100,0.41,RU,1669905977
24,busselton,-33.65,115.3333,12.62,90,0,4.23,AU,1669905978
25,yinchuan,38.4681,106.2731,-6.55,15,73,1.09,CN,1669905979
26,evensk,61.95,159.2333,-12.64,80,67,1.54,RU,1669905979
27,acajutla,13.5928,-89.8275,27.33,61,99,2.19,SV,1669905980
28,waitati,-45.75,170.5667,9.33,69,68,5.49,NZ,1669905980
29,kemijarvi,66.7131,27.4306,-3.83,98,100,1.04,FI,1669905981
